Name,Category,Wholesale,Retail,Multiplier
Essilor Eyezen+ / Eyezen Start,Lens,42.94,128.82,3.0
Essilor Stylistic SV,Lens,60.7,182.1,3.0
Essilor Fit SV,Lens,63.92,191.76,3.0
Essilor Eyecode SV,Lens,68.2,204.6,3.0
Shamir Autograph III SV,Lens,55.36,166.08,3.0
Shamir Autograph II SV,Lens,54.28,162.84,3.0
Shamir Spectrum SV,Lens,54.86,164.58,3.0
Shamir Relax SV,Lens,59.26,177.78,3.0
Shamir Attitude III SV Fashion/Sport,Lens,62.12,186.36,3.0
Shamir Autograph II SV Attitude,Lens,54.08,162.24,3.0
Kodak Digital SV,Lens,41.42,124.26,3.0
Kodak PowerUp,Lens,41.46,124.38,3.0
Single Vision,Lens,26.8,80.4,3.0
Single Vision Aspheric,Lens,37.84,113.52,3.0
Essilor Anti-Fatigue SV,Lens,41.12,123.36,3.0
Essilor Bifocal AB FT-28,Lens,65.3,195.9,3.0
Shamir Duo,Lens,69.7,209.1,3.0
Flat Top 28 D28,Lens,42.0,126.0,3.0
Flat Top 35 D35,Lens,46.38,139.14,3.0
Flat Top 28 D28 Aspheric,Lens,65.68,197.04,3.0
Flat Top 7x28,Lens,44.16,132.48,3.0
Flat Top 8x35,Lens,100.98,302.94,3.0
Essilor Ideal @ Computer,Lens,102.2,306.6,3.0
Shamir Computer,Lens,101.8,305.4,3.0
Shamir Workspace,Lens,101.8,305.4,3.0
Shamir Autograph II Office,Lens,59.4,178.2,3.0
Kodak SoftWear,Lens,84.4,253.2,3.0
Shamir Office,Lens,71.5,214.5,3.0
Shamir Autograph Intelligence,Lens,195.7,587.1,3.0
Shamir Autograph III,Lens,184.3,552.9,3.0
Shamir Autograph II,Lens,128.2,384.6,3.0
Shamir InTouch,Lens,122.7,368.1,3.0
Shamir Spectrum / Spectrum+,Lens,91.4,274.2,3.0
Shamir Element,Lens,92.4,277.2,3.0
Shamir FirstPAL,Lens,87.8,263.4,3.0
Shamir Genesis HD,Lens,73.8,221.4,3.0
Shamir Attitude III Fashion/Sport,Lens,187.3,561.9,3.0
Shamir Autograph II Attitude Fashion/Sport,Lens,134.7,404.1,3.0
Kodak Easy,Lens,72.7,218.1,3.0
Kodak Unique DRO,Lens,121.5,364.5,3.0
Kodak Unique DRO Mini,Lens,152.5,457.5,3.0
Kodak Unique HD,Lens,132.1,396.3,3.0
Kodak Unique,Lens,104.0,312.0,3.0
Kodak Concise Digital,Lens,105.2,315.6,3.0
Kodak Precise,Lens,76.8,230.4,3.0
Kodak Precise PB,Lens,79.8,239.4,3.0
Shore Shorview DS Advanced Fit,Lens,94.4,283.2,3.0
Shore Shorview DS Advanced Mini,Lens,85.9,257.7,3.0
Shore Shorview Digital / Mini,Lens,48.9,146.7,3.0
PALZ Value Progressive,Lens,46.2,138.6,3.0
Kodak Concise,Lens,78.7,236.1,3.0
Signet-Armorlite Navigator,Lens,69.8,209.4,3.0
Younger Image,Lens,43.4,130.2,3.0
Vision-Ease Outlook,Lens,41.8,125.4,3.0
