id,manufacturer,brand,collection,model,color,colorCode,eyeSize,bridge,temple,upc,sku,internalId,wholesaleCost,retailPrice,stockQuantity,gender,description,isActive,createdAt,updatedAt,showInPos,isFeatured,posDisplayOrder,pricingCategory
cmiw5lldk000mitnt6tvrda8a,"",Versace,,VE1163M,Pale Gold,1252,52,16,130,8053672346954,1042,,87.85,294,0,,,t,2025-12-07 20:06:55.353,2025-12-07 20:06:55.353,t,f,999,FRAME
cmiw5llmi000nitnt59v9xi7j,"",Michael Kors,,MK3044B,MINK BROWN,1213,53,17,140,725125179591,1044,,73.3,250,0,,,t,2025-12-07 20:06:55.674,2025-12-07 20:06:55.674,t,f,999,FRAME
cmiw5lgff0000itntcsblmcla,"",Tory Burch,,TY2064,DARK TORTOISE,1728,48,16,135,725125016056,,,95.93,288,1,,,t,2025-12-07 20:06:48.94,2025-12-07 20:06:48.94,t,f,999,FRAME
cmiw5lgw50002itntsofymtwu,"",Versace,,VE3298B,HAVANA,108,53,17,140,8056597385213,1009,,102.78,340,0,,,t,2025-12-07 20:06:49.541,2025-12-07 20:06:49.541,t,f,999,FRAME
cmiw5lh510003itnts55m10n8,"",Versace,,VE3298B,TRANSPARENT BROWN,5324,53,17,140,8056597385237,1010,,102.78,340,0,,,t,2025-12-07 20:06:49.862,2025-12-07 20:06:49.862,t,f,999,FRAME
cmiw5lhbn0004itntb2jlk4wp,"",Versace,,VE3299B,TRANSPARENT BROWN,5324,53,17,140,8056597385336,1012,,102.78,340,0,,,t,2025-12-07 20:06:50.099,2025-12-07 20:06:50.099,t,f,999,FRAME
cmiw5lhl20005itntkksg8es0,"",Versace,,VE3186,Green Havana Transp,5076,54,16,140,8053672109252,1013,,92.82,310,0,,,t,2025-12-07 20:06:50.438,2025-12-07 20:06:50.438,t,f,999,FRAME
cmiw5lhrz0006itnt4hwrixw0,"",Versace,,VE3288,BLACK,GB1,52,16,140,8056597219358,1017,,112.72,370,0,,,t,2025-12-07 20:06:50.687,2025-12-07 20:06:50.687,t,f,999,FRAME
cmiw5li0r0007itnt5oys9239,"",Versace,,VE3298B,TORTOISE,108,53,17,140,,1019,,102.78,340,0,,,t,2025-12-07 20:06:51.003,2025-12-07 20:06:51.003,t,f,999,FRAME
cmiw5li9u0008itntm32mk61u,"",Versace,,VE3186,Black,GB1,52,16,140,8053672109221,1020,,92.82,310,0,,,t,2025-12-07 20:06:51.33,2025-12-07 20:06:51.33,t,f,999,FRAME
cmiw5ligh0009itntw4xfclqp,"",Versace,,VE3298B,BROWN TRANS,5324,53,17,140,,1021,,102.78,340,0,,,t,2025-12-07 20:06:51.57,2025-12-07 20:06:51.57,t,f,999,FRAME
cmiw5lipl000aitnte0m7abfw,"",Versace,,VE3295,HAVANA,108,54,18,140,8056597340878,1023,,97.81,310,0,,,t,2025-12-07 20:06:51.897,2025-12-07 20:06:51.897,t,f,999,FRAME
cmiw5liwe000bitnttzspwtc1,"",Versace,,VE3295,TRANSPARENT BROWN,5028,54,18,140,8056597340946,1024,,97.81,310,0,,,t,2025-12-07 20:06:52.142,2025-12-07 20:06:52.142,t,f,999,FRAME
cmiw5lj5o000citnt138u1i6x,"",Versace,,VE3266,BLACK,GB1,55,17,145,8053672952612,1026,,80,270,0,,,t,2025-12-07 20:06:52.476,2025-12-07 20:06:52.476,t,f,999,FRAME
cmiw5ljce000ditntwfs8eqpo,"",Versace,,VE3257,BLACK/HAVANA,5117,53,18,140,8053672852370,1027,,97.81,300,0,,,t,2025-12-07 20:06:52.718,2025-12-07 20:06:52.718,t,f,999,FRAME
cmiw5ljle000eitntp2o15uvc,"",Versace,,VE3285,DARK HAVANA,108,55,19,145,8056597159920,1028,,102.78,338,0,,,t,2025-12-07 20:06:53.043,2025-12-07 20:06:53.043,t,f,999,FRAME
cmiw5ljs6000fitntts6tjdn6,"",Tiffany,,TF2177,BLACK ON TIFFANY BLUE,8055,50,17,140,8056597355254,1033,,120.01,390,0,,,t,2025-12-07 20:06:53.286,2025-12-07 20:06:53.286,t,f,999,FRAME
cmiw5lk1n000gitnttcqkan2v,"",Versace,,VE1246B,COPPER,1052,52,17,135,8053672754421,1034,,92.82,310,0,,,t,2025-12-07 20:06:53.628,2025-12-07 20:06:53.628,t,f,999,FRAME
cmiw5lkan000hitntzuzknrnq,"",Versace,,VE3271,BLACK,GB1,54,16,140,8056597049023,1035,,102.78,340,0,,,t,2025-12-07 20:06:53.951,2025-12-07 20:06:53.951,t,f,999,FRAME
cmiw5lkhq000iitnt3q36gbom,"",Tiffany,,TF4076,BLACK OBER TIFFANY BLUE,8055,58,17,135,,1036,,117.79,315,0,,,t,2025-12-07 20:06:54.206,2025-12-07 20:06:54.206,t,f,999,FRAME
cmiw5lkqk000jitntal26bkt0,"",Versace,,VE4375,HAVANA DARK BROWN,108/73,53,18,135,,1037,,120.81,300,0,,,t,2025-12-07 20:06:54.524,2025-12-07 20:06:54.524,t,f,999,FRAME
cmiw5lkxi000kitnt9iv3ua7p,"",Jones New York,,VJOM540,Matte Olive,,56,16,150,751286347371,1038,,61.95,215,0,,,t,2025-12-07 20:06:54.774,2025-12-07 20:06:54.774,t,f,999,FRAME
cmiw5ll6n000litntv96ptles,"",Jones New York,,VJOM540,Matte Black,,56,16,150,751286347357,1039,,61.95,215,0,,,t,2025-12-07 20:06:55.103,2025-12-07 20:06:55.103,t,f,999,FRAME
cmiw5llww000oitnt57wfjn06,"",Michael Kors,,MK3044B,LIGHT GOLD/BLACK,1014,53,17,140,725125179553,1046,,73.3,250,0,,,t,2025-12-07 20:06:56.048,2025-12-07 20:06:56.048,t,f,999,FRAME
cmiw5lm3l000pitntixzxavm5,"",Tiffany,,TF2198B,HAVANA,8015,51,16,140,8056597214100,1047,,128.4,257,0,,,t,2025-12-07 20:06:56.289,2025-12-07 20:06:56.289,t,f,999,FRAME
cmiw5lmcn000qitntb0cjksoa,"",Tiffany,,TF2203B,OPAL BEIGE,8262,52,16,140,8056597334662,1049,,125,213,0,,,t,2025-12-07 20:06:56.616,2025-12-07 20:06:56.616,t,f,999,FRAME
cmiw5lmjb000ritnt3tf8f92f,"",Tiffany,,TF2203B,HAVANA ON TIFFANY BLUE,8134,52,16,140,8056597334648,1051,,125,213,0,,,t,2025-12-07 20:06:56.855,2025-12-07 20:06:56.855,t,f,999,FRAME
cmiw5lmrd000sitntn98c7391,"",Tiffany,,TF2203B,OPAL BLUE,8315,54,16,140,8056597334679,1052,,125,213,0,,,t,2025-12-07 20:06:57.145,2025-12-07 20:06:57.145,t,f,999,FRAME
cmiw5lmy0000titnt43rnertf,"",Tiffany,,TF2203B,BLACK ON TIFFANY BLUE,8055,48,16,140,8056597424851,1053,,125,213,0,,,t,2025-12-07 20:06:57.384,2025-12-07 20:06:57.384,t,f,999,FRAME
cmiw5ln7f000uitnt0fy8h4hg,"",Tiffany,,TF2177,HAVANA ON TIFFANY BLUE,8134,50,17,140,8056597355278,1054,,120.01,390,0,,,t,2025-12-07 20:06:57.723,2025-12-07 20:06:57.723,t,f,999,FRAME
