id,name,category,pricingCategory,retailPrice,showInPos,vsp_tier,eyemed_tier,spectera_tier
cdd00b28-9789-414e-b30b-e71ef41ef8b8,Essilor Eyecode SV,LENS,SINGLE_VISION,204.60,false,,,
61aa4595-678e-4624-84b5-727b90a0f728,Essilor Fit SV,LENS,SINGLE_VISION,191.76,false,,,
a20a1961-b9a6-42b0-8435-12b7bffbab5b,Shamir Attitude III SV Fashion/Sport,LENS,SINGLE_VISION,186.36,false,,,
f6e4452c-192d-431b-ae86-27374a7e0d3a,Essilor Stylistic SV,LENS,SINGLE_VISION,182.10,false,,,
3a57b26f-582c-4fe1-b96f-01c97276e887,Shamir Relax SV,LENS,SINGLE_VISION,177.78,false,,,
2c21aa9a-4a03-49be-958a-b9bcdd6b05ba,Shamir Autograph III SV,LENS,SINGLE_VISION,166.08,false,,,
adb9c0ab-d08b-4a63-8109-7b4a04737382,Shamir Spectrum SV,LENS,SINGLE_VISION,164.58,false,,,
5b193c99-8ba6-47fb-b787-366df19e038c,Shamir Autograph II SV,LENS,SINGLE_VISION,162.84,false,,,
9ddd48cd-eaa9-4c03-b8af-e7c0761e30f1,Shamir Autograph II SV Attitude,LENS,SINGLE_VISION,162.24,false,,,
fe3d2e8e-5b72-4703-bd61-8a1dc8f5dc1a,Essilor Eyezen+ / Eyezen Start,LENS,SINGLE_VISION,128.82,false,,,
0e5c373f-4af4-452a-8f59-77a73e93808d,Kodak PowerUp,LENS,SINGLE_VISION,124.38,false,,,
2cf5f56d-73be-4938-97cd-08634e3364f0,Kodak Digital SV,LENS,SINGLE_VISION,124.26,false,,,
cff8319e-7583-4794-a003-0c8b4ed535de,Essilor Anti-Fatigue SV,LENS,SINGLE_VISION,123.36,false,,,
f0348a3f-2b85-4ab6-b418-c829bca18e6a,Single Vision Aspheric (Eyezen),LENS,SINGLE_VISION,113.52,true,,,
35e6d855-01b4-4eae-a729-914d56aae7d0,Single Vision,LENS,SINGLE_VISION,80.40,true,,,
a694ddd2-1c0e-4181-8598-3dd359a8f9eb,Shamir Duo,LENS,BIFOCAL,209.10,true,,,
1015e4e2-0464-4357-9c19-1212ac2dda13,Flat Top 28 D28 Aspheric,LENS,BIFOCAL,197.04,false,,,
25fa7728-ae5d-4e5a-a4b9-2e2ba9c4a666,Essilor Bifocal AB FT-28,LENS,BIFOCAL,195.90,false,,,
826510ad-da32-48dc-bcc2-1e7125007e23,Flat Top 35 D35,LENS,BIFOCAL,139.14,false,,,
57fd7e5b-2ce5-4c58-b34c-ae1a7f2ac449,Flat Top 28,LENS,BIFOCAL,126.00,true,,,
3708e744-79eb-4ade-9eca-d92e6b35eb02,Flat Top 8x35,LENS,TRIFOCAL,302.94,false,,,
68cf4e82-bc20-47c6-843b-552389624ab1,Trifocal,LENS,TRIFOCAL,132.48,true,,,
def80bdb-5161-4835-9845-a07f81b4fb28,Flat Top 7x28,LENS,TRIFOCAL,132.48,false,,,
1b5f23de-d087-42bb-8f24-47e98414cf46,Varilux XR track,LENS,PROGRESSIVE,672.00,true,,,
6ae17d2e-8629-4b5a-bf5e-d7dbc7f054ef,Varilux XR design,LENS,PROGRESSIVE,672.00,true,,,
2af69aaa-93b0-4540-adf0-f2cee80cbe8c,Varilux X Design,LENS,PROGRESSIVE,600.00,true,,,
96ab881f-8ac8-4545-9402-b9b3fe7cfcf5,Shamir Autograph Intelligence,LENS,PROGRESSIVE,587.10,false,,,
5aa9cde9-36d2-4130-97a8-00a1371e25c1,Shamir Attitude III Fashion/Sport,LENS,PROGRESSIVE,561.90,false,,,
1f96a0b9-01a9-4e05-9426-76cc1d57e8fd,Shamir Autograph III,LENS,PROGRESSIVE,552.90,false,,,
98788b60-2942-4784-8ad9-927b696f34f2,Varilux Physio extensee track,LENS,PROGRESSIVE,540.90,false,,,
7f87e458-c35c-4049-81c7-3c66fa36d325,Varilux Physio extensee,LENS,PROGRESSIVE,525.90,false,,,
a3674cdc-fcd7-4b78-be19-5029a21361bd,Varilux Physio extensee Classic Edition,LENS,PROGRESSIVE,461.40,false,,,
90a03cb4-f342-42e0-bcb8-23771059631e,Accolade Freedom,LENS,PROGRESSIVE,458.70,false,,,
63561116-bd4c-48d5-a0ed-cfb51bb32207,Kodak Unique DRO Mini,LENS,PROGRESSIVE,457.50,false,,,
b0bd5b11-cfed-4604-b13a-989e67a15d5b,Varilux Physio DRx,LENS,PROGRESSIVE,455.40,false,,,
5f430c7e-d1a4-4802-b666-0630d5c2371f,Shamir Autograph II Attitude Fashion/Sport,LENS,PROGRESSIVE,404.10,false,,,
ad1754cd-c7c5-4690-adcc-8bc544684700,Varilux Comfort Max Fit,LENS,PROGRESSIVE,403.20,false,,,
a46b6ad7-7d0b-4ff2-a5a6-2e4e5076131c,Varilux I design,LENS,PROGRESSIVE,403.20,false,,,
