Product Name,Category,Wholesale,Retail,Multiplier,VSP Code,EyeMed Tier,Spectera Tier
Single Vision,SINGLE_VISION,$26.80,$80.40,3.0,AA,Standard,Standard
Single Vision Aspheric (Eyezen),SINGLE_VISION,$37.84,$113.52,3.0,BA,Standard,Standard
Essilor Anti-Fatigue SV,SINGLE_VISION,$41.12,$123.36,3.0,BA,Standard,Standard
Kodak Digital SV,SINGLE_VISION,$41.42,$124.26,3.0,BA,Standard,Standard
Kodak PowerUp,SINGLE_VISION,$41.46,$124.38,3.0,BA,Standard,Standard
Essilor Eyezen+ / Eyezen Start,SINGLE_VISION,$42.94,$128.82,3.0,BA,Standard,Standard
Shamir Autograph II SV Attitude,SINGLE_VISION,$54.08,$162.24,3.0,BA,Tier 1,Tier I
Shamir Autograph II SV,SINGLE_VISION,$54.28,$162.84,3.0,BA,Tier 1,Tier I
Shamir Spectrum SV,SINGLE_VISION,$54.86,$164.58,3.0,BA,Tier 2,Tier II
Shamir Autograph III SV,SINGLE_VISION,$55.36,$166.08,3.0,BA,Tier 4,Tier IV
Shamir Relax SV,SINGLE_VISION,$59.26,$177.78,3.0,BA,Tier 1,Tier I
Essilor Stylistic SV,SINGLE_VISION,$60.70,$182.10,3.0,BA,Tier 2,Tier II
Shamir Attitude III SV Fashion/Sport,SINGLE_VISION,$62.12,$186.36,3.0,BA,Tier 3,Tier III
Essilor Fit SV,SINGLE_VISION,$63.92,$191.76,3.0,BA,Tier 2,Tier II
Essilor Eyecode SV,SINGLE_VISION,$68.20,$204.60,3.0,BA,Tier 3,Tier III
Flat Top 28,BIFOCAL,$42.00,$126.00,3.0,AA,Standard,Standard
Flat Top 35 D35,BIFOCAL,$46.38,$139.14,3.0,AA,Standard,Standard
Essilor Bifocal AB FT-28,BIFOCAL,$65.30,$195.90,3.0,BA,Standard,Standard
Flat Top 28 D28 Aspheric,BIFOCAL,$65.68,$197.04,3.0,BA,Standard,Standard
Shamir Duo,BIFOCAL,$69.70,$209.10,3.0,GA,Tier 1,Tier I
Trifocal,TRIFOCAL,$44.16,$132.48,3.0,AA,Standard,Standard
Flat Top 7x28,TRIFOCAL,$44.16,$132.48,3.0,AA,Standard,Standard
Flat Top 8x35,TRIFOCAL,$100.98,$302.94,3.0,AA,Standard,Standard
Shore Shorview,PROGRESSIVE,$38.30,$114.90,3.0,KA,Standard,Tier I
Vision-Ease Outlook,PROGRESSIVE,$41.80,$125.40,3.0,KA,Standard,Tier I
Younger Image,PROGRESSIVE,$43.40,$130.20,3.0,KA,Standard,Tier I
Shore Shorview ES / Mini,PROGRESSIVE,$45.90,$137.70,3.0,KA,Standard,Tier I
PALZ Value Progressive,PROGRESSIVE,$46.20,$138.60,3.0,KA,Standard,Tier I
Brillenz,PROGRESSIVE,$46.20,$138.60,3.0,KA,Standard,Tier I
Shore Shorview Digital / Mini,PROGRESSIVE,$48.90,$146.70,3.0,KA,Standard,Tier I
Signet-Armorlite Navigator,PROGRESSIVE,$69.80,$209.40,3.0,KA,Standard,Tier I
Kodak Easy,PROGRESSIVE,$72.70,$218.10,3.0,KA,Standard,Tier I
Shamir Genesis HD,PROGRESSIVE,$73.80,$221.40,3.0,KA,Standard,Tier I
Kodak Precise,PROGRESSIVE,$76.80,$230.40,3.0,JA,Tier 1,Tier I
Kodak Concise,PROGRESSIVE,$78.70,$236.10,3.0,JA,Tier 1,Tier I
Kodak Precise PB,PROGRESSIVE,$79.80,$239.40,3.0,JA,Tier 2,Tier I
Adaptar Digital,PROGRESSIVE,$81.00,$243.00,3.0,KA,Standard,Tier I
Varilux Comfort DRx,PROGRESSIVE,$84.70,$254.10,3.0,JA,Tier 2,Tier II
Shore Shorview DS Advanced Mini,PROGRESSIVE,$85.90,$257.70,3.0,JA,Tier 1,Tier I
Natural,PROGRESSIVE,$87.80,$263.40,3.0,KA,Standard,Tier I
Shamir FirstPAL,PROGRESSIVE,$87.80,$263.40,3.0,JA,Tier 1,Tier II
SmallFit,PROGRESSIVE,$89.30,$267.90,3.0,KA,Standard,Tier I
Natural Digital,PROGRESSIVE,$90.40,$271.20,3.0,KA,Standard,Tier I
Shamir Spectrum / Spectrum+,PROGRESSIVE,$91.40,$274.20,3.0,FA,Tier 3,Tier II
Essilor Ideal / Ideal Short,PROGRESSIVE,$92.40,$277.20,3.0,KA,Standard,Tier I
Shamir Element,PROGRESSIVE,$92.40,$277.20,3.0,JA,Tier 2,Tier I
Ovation,PROGRESSIVE,$93.90,$281.70,3.0,KA,Standard,Tier I
SmallFit Digital,PROGRESSIVE,$93.90,$281.70,3.0,KA,Standard,Tier I
Shore Shorview DS Advanced Fit,PROGRESSIVE,$94.40,$283.20,3.0,JA,Tier 1,Tier I
Ovation Digital,PROGRESSIVE,$98.40,$295.20,3.0,KA,Standard,Tier I
Essilor Ideal Fit,PROGRESSIVE,$100.60,$301.80,3.0,KA,Tier 1,Tier I
Kodak Unique,PROGRESSIVE,$104.00,$312.00,3.0,OA,Tier 3,Tier III
Essilor Ideal Advanced,PROGRESSIVE,$104.00,$312.00,3.0,KA,Tier 1,Tier II
Kodak Concise Digital,PROGRESSIVE,$105.20,$315.60,3.0,JA,Tier 2,Tier II
Essilor Ideal Driving/Sport,PROGRESSIVE,$112.40,$337.20,3.0,JA,Tier 2,Tier II
Kodak Unique DRO,PROGRESSIVE,$121.50,$364.50,3.0,OA,Tier 3,Tier III
Shamir InTouch,PROGRESSIVE,$122.70,$368.10,3.0,JA,Tier 3,Tier II
Varilux Comfort,PROGRESSIVE,$122.70,$368.10,3.0,FA,Tier 2,Tier II
Shamir Autograph II,PROGRESSIVE,$128.20,$384.60,3.0,OA,Tier 3,Tier III
Accolade,PROGRESSIVE,$130.90,$392.70,3.0,KA,Tier 1,Tier II
Varilux Comfort Max,PROGRESSIVE,$131.10,$393.30,3.0,FA,Tier 3,Tier III
Kodak Unique HD,PROGRESSIVE,$132.10,$396.30,3.0,OA,Tier 4,Tier IV
