Lens Name,Modality,Box Size,Retail,Annual Supply (boxes)
Acuvue 2,biweekly,6,$56.99,8
Acuvue Oasys,biweekly,24,$195.98,2
Acuvue Oasys,biweekly,12,$97.99,4
Acuvue Oasys Multifocal,biweekly,6,$64.99,8
Acuvue Oasys Toric,biweekly,6,$69.99,8
Acuvue Oasys Transitions,biweekly,6,$65.99,8
Avaira Vitality,biweekly,6,$42.99,8
Avaira Vitality Toric,biweekly,6,$53.99,8
Biomedics 55 Premier,biweekly,6,$52.99,8
Precision 7 for Astigmatism,weekly,12,$82.99,8
Precision 7 for Astigmatism,weekly,27,$139.99,4
PRECISION7,weekly,12,$69.99,8
PRECISION7,weekly,27,$119.99,4
Soflens 38 EW,biweekly,6,$43.99,8
Acuvue 1 Day Max,daily,90,$138.99,8
Acuvue 1 Day Moist,daily,90,$106.99,8
Acuvue 1 Day Moist Bifocal,daily,90,$139.99,8
Acuvue 1 Day Moist Toric,daily,90,$124.99,8
Acuvue 1 Day TruEye,daily,90,$151.99,8
Acuvue Oasys 1 Day,daily,90,$116.99,8
Acuvue Oasys 1 Day Toric,daily,90,$139.99,8
Aqua Comfort Plus Dailies 8.7,daily,90,$92.99,8
Biotrue ONEday,daily,90,$83.99,8
Biotrue ONEday for Presbyopia,daily,90,$117.99,8
Biotrue ONEday Toric,daily,90,$102.99,8
Dailies Aqua Comfort Plus Multifocal,daily,90,$136.99,8
Dailies Aqua Comfort Plus Toric,daily,90,$118.99,8
Dailies Colors,daily,90,$94.99,8
DAILIES TOTAL1®,daily,30,$54.99,24
DAILIES TOTAL1®,daily,90,$132.99,8
DAILIES TOTAL1® for Astigmatism,daily,90,$152.99,8
DAILIES TOTAL1® for Astigmatism,daily,30,$62.99,24
DAILIES TOTAL1® Multifocal,daily,90,$160.99,8
DAILIES TOTAL1® Multifocal,daily,30,$69.99,24
Fresh Day 1 Day,daily,90,$79.99,8
Fresh Day 1 Day Multifocal,daily,90,$99.99,8
Fresh Day 1 Day Toric,daily,90,$97.99,8
INFUSE One-Day Toric,daily,90,$158.99,8
Infuse Toric,daily,90,$158.99,8
Max 1 Day Multifocal,daily,90,$181.50,8
Max 1 Day Multifocal Toric,daily,30,$65.25,24
MiSight,daily,90,$150.00,8
MiSight,daily,180,$300.00,4
PRECISION1® for Astigmatism,daily,30,$49.99,24
PRECISION1® for Astigmatism,daily,90,$114.99,8
PRECISION1® ONE-DAY CONTACT LENSES,daily,90,$85.99,8
PRECISION1® ONE-DAY CONTACT LENSES,daily,30,$37.99,24
Proclear 1-Day,daily,90,$100.99,8
Reveal 1-Day Premium,daily,90,$112.99,8
Reveal 1-Day Toric,daily,90,$112.99,8
Reveal Bifocal,daily,90,$154.99,8
Soflens Dailies,daily,90,$71.99,8
Acuvue Vita,monthly,6,$83.99,4
Acuvue Vita Toric,monthly,6,$88.99,4
Air Optix Bifocal,monthly,6,$120.99,4
Air Optix Colors,monthly,6,$132.99,4
Air Optix Night & Day,monthly,6,$126.99,4
AIR OPTIX® plus HydraGlyde®,monthly,6,$73.99,4
AIR OPTIX® plus HydraGlyde® for Astigmatism,monthly,6,$93.99,4
Aqua Clear,monthly,6,$60.99,4
Aqua Clear 110,monthly,6,$42.99,4
Aqua Clear Multifocal,monthly,6,$96.99,4
Aqua Clear Premium,monthly,6,$68.99,4
Aqua Clear Toric,monthly,6,$70.99,4
Aqua Clear Toric XR,monthly,6,$164.99,4
Aquaclear Multifocal Toric,monthly,6,$179.99,4
Aquaclear XR,monthly,6,$74.99,4
Biofinity Toric XR,monthly,6,$164.99,4
Proclear,monthly,6,$72.99,4
Proclear Multifocal,monthly,6,$126.99,4
Proclear Toric,monthly,6,$106.99,4
Proclear Toric Bifocals,monthly,6,$196.99,4
Proclear Toric XR,monthly,6,$195.99,4
Proclear XR MF,monthly,6,$199.99,4
PureVision,monthly,6,$92.99,4
PureVision Bifocal,monthly,6,$101.99,4
Soflens Multifocal,monthly,6,$79.99,4
Soflens Toric,monthly,6,$72.99,4
TOTAL30®,monthly,6,$78.99,4
TOTAL30® for Astigmatism,monthly,6,$83.99,4
TOTAL30® MultiFocal,monthly,6,$116.99,4
Ultra,monthly,6,$71.99,4
Ultra Bifocal,monthly,6,$101.99,4
Ultra Toric,monthly,6,$84.99,4
Ultra Toric Bifocal,monthly,6,$158.99,4
